Popolazione straniera iscritta in anagrafe per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roma Capitale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-dic-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;15;;;16;;;17;;;18;;;19;;;20;;;N.L.;;;;;
;;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT
ROMANIA;EUROPA COM.;1.520;1.346;2.866;319;1.349;1.668;141;446;587;1.122;2.018;3.140;1.497;1.944;3.441;1032;1.615;2.647;2.119;2.502;4.621;10.951;10.289;21.240;578;1.250;1.828;1.676;2.310;3.986;564;1.321;1.885;1.564;2.214;3.778;4.109;4.685;8.794;2.393;2.744;5.137;1.163;1.818;2.981;174;644;818;1.759;2.240;3.999;1.866;2.646;4.512;3.203;4.014;7.217;181;140;321;37.931;47.535;85.466
FILIPPINE;ASIA;892;1.661;2.553;1.462;2.636;4.098;297;521;818;1.305;1.683;2.988;458;603;1061;630;828;1.458;487;597;1084;361;528;889;724;1.129;1.853;320;462;782;609;887;1.496;652;976;1.628;429;575;1004;1.183;1.417;2.600;927;1.429;2.356;493;836;1.329;1074;1.560;2.634;1.567;2.207;3.774;2.009;2.955;4.964;52;84;136;15.931;23.574;39.505
BANGLADESH;ASIA;4.303;348;4.651;140;56;196;189;39;228;600;241;841;681;236;917;2.302;1.175;3.477;1.214;619;1.833;3.015;505;3.520;824;313;1137;851;406;1.257;858;323;1.181;243;111;354;363;123;486;716;328;1044;385;157;542;256;107;363;288;86;374;258;90;348;179;71;250;35;6;41;17.700;5.340;23.040
POLONIA;EUROPA COM.;527;590;1.117;106;392;498;64;171;235;222;593;815;200;419;619;171;365;536;207;375;582;287;516;803;147;419;566;181;371;552;214;409;623;221;443;664;898;1.309;2.207;278;553;831;310;632;942;105;243;348;365;612;977;479;873;1.352;349;553;902;50;51;101;5.381;9.889;15.270
REP. POP. CINESE;ASIA;1497;1207;2704;108;113;221;48;44;92;218;210;428;298;275;573;1469;1386;2855;493;464;957;1286;1162;2448;322;333;655;567;557;1124;273;266;539;139;115;254;158;144;302;320;274;594;83;100;183;111;102;213;158;117;275;116;131;247;69;69;138;34;21;55;7.767;7.090;14.857
PERU';AMERICA SUD;241;469;710;281;689;970;79;179;258;323;528;851;320;420;740;276;421;697;318;441;759;430;622;1.052;288;452;740;298;482;780;216;403;619;146;245;391;211;299;510;216;371;587;156;383;539;130;237;367;314;492;806;524;856;1380;661;1053;1714;19;24;43;5.447;9.066;14.513
UCRAINA;EUROPA NON COM.;248;871;1119;75;669;744;37;189;226;119;726;845;137;568;705;79;371;450;127;402;529;182;618;800;81;598;679;130;499;629;108;653;761;128;551;679;285;865;1.150;83;395;478;102;440;542;53;387;440;120;461;581;151;677;828;119;527;646;8;16;24;2.372;10.483;12.855
EGITTO;AFRICA;414;84;498;163;91;254;63;28;91;296;130;426;302;137;439;469;234;703;588;305;893;789;279;1068;294;138;432;203;81;284;315;110;425;140;74;214;1053;336;1.389;916;438;1.354;361;181;542;156;75;231;275;123;398;431;212;643;278;125;403;96;32;128;7.602;3.213;10.815
INDIA;ASIA;876;341;1.217;177;234;411;73;110;183;184;140;324;134;62;196;283;146;429;274;151;425;605;261;866;149;214;363;100;123;223;216;187;403;161;131;292;175;119;294;300;236;536;268;384;652;120;144;264;432;484;916;356;362;718;244;364;608;32;23;55;5.159;4.216;9.375
SRI LANKA;ASIA;252;217;469;429;433;862;71;59;130;150;96;246;108;96;204;145;118;263;110;77;187;232;128;360;64;46;110;68;53;121;151;141;292;219;183;402;765;584;1349;94;84;178;100;97;197;111;114;225;162;130;292;371;277;648;1091;884;1.975;15;17;32;4.708;3.834;8.542
ECUADOR;AMERICA SUD;176;247;423;193;436;629;34;83;117;175;299;474;92;165;257;185;260;445;138;215;353;228;316;544;121;224;345;171;221;392;144;235;379;101;180;281;100;139;239;80;155;235;54;122;176;60;150;210;206;297;503;377;594;971;611;868;1.479;10;16;26;3.256;5.222;8.478
MOLDOVA;EUROPA NON COM.;109;219;328;44;239;283;10;67;77;116;323;439;148;272;420;104;224;328;236;353;589;437;639;1076;79;246;325;142;270;412;90;253;343;242;409;651;285;448;733;92;185;277;75;221;296;24;101;125;105;210;315;169;301;470;335;501;836;2;7;9;2.844;5.488;8.332
ALBANIA;EUROPA NON COM.;105;106;211;75;104;179;65;48;113;138;153;291;335;301;636;191;181;372;217;185;402;824;769;1593;92;121;213;201;179;380;114;101;215;229;173;402;259;224;483;120;108;228;96;90;186;19;37;56;209;183;392;281;226;507;100;123;223;14;7;21;3.684;3.419;7.103
FRANCIA;EUROPA COM.;608;744;1352;338;453;791;87;118;205;81;131;212;39;70;109;31;66;97;18;41;59;33;65;98;62;120;182;40;77;117;128;208;336;126;186;312;115;192;307;34;98;132;113;189;302;125;170;295;166;168;334;111;166;277;302;396;698;52;59;111;2.609;3.717;6.326
SPAGNA;EUROPA COM.;575;445;1.020;293;432;725;41;184;225;59;131;190;48;72;120;36;106;142;26;67;93;22;86;108;76;172;248;18;54;72;81;103;184;134;116;250;57;108;165;92;140;232;122;265;387;88;142;230;336;509;845;59;169;228;175;266;441;27;59;86;2.365;3.626;5.991
MAROCCO;AFRICA;125;90;215;53;89;142;54;49;103;154;135;289;88;59;147;248;94;342;355;297;652;774;444;1218;55;53;108;124;150;274;109;106;215;96;103;199;140;102;242;71;57;128;63;74;137;11;14;25;90;78;168;158;105;263;155;125;280;45;15;60;2.968;2.239;5.207
REGNO UNITO;EUROPA COM.;444;476;920;158;199;357;58;66;124;78;97;175;40;46;86;40;44;84;22;27;49;20;37;57;59;86;145;43;35;78;146;183;329;148;156;304;163;263;426;54;47;101;126;155;281;84;79;163;71;89;160;86;119;205;276;304;580;69;67;136;2.185;2.575;4.760
STATI UNITI D'AMERICA;AMERICA NORD;653;484;1137;218;237;455;56;48;104;82;82;164;25;24;49;26;22;48;16;16;32;21;22;43;39;66;105;27;25;52;101;98;199;137;156;293;92;109;201;26;42;68;141;164;305;80;78;158;142;116;258;98;97;195;276;362;638;81;80;161;2.337;2.328;4.665
GERMANIA;EUROPA COM.;453;453;906;145;229;374;52;98;150;46;109;155;43;58;101;36;51;87;11;36;47;20;33;53;52;104;156;18;44;62;82;105;187;52;100;152;107;164;271;50;105;155;161;283;444;78;122;200;152;216;368;68;145;213;133;231;364;55;64;119;1.814;2.750;4.564
BRASILE;AMERICA SUD;213;309;522;50;141;191;33;54;87;42;168;210;49;87;136;51;73;124;30;83;113;41;144;185;56;166;222;52;108;160;62;127;189;56;141;197;58;172;230;62;185;247;86;202;288;29;99;128;156;239;395;73;191;264;74;239;313;22;33;55;1.295;2.961;4.256
ERITREA;AFRICA;2022;501;2523;10;92;102;36;24;60;12;24;36;24;44;68;24;66;90;189;108;297;71;102;173;8;33;41;34;31;65;19;39;58;2;16;18;10;20;30;5;12;17;8;21;29;3;16;19;17;40;57;9;36;45;23;77;100;0;1;1;2.526;1.303;3.829
NIGERIA;AFRICA;385;169;554;13;10;23;22;17;39;16;26;42;51;56;107;45;44;89;60;82;142;915;899;1814;16;51;67;52;86;138;20;26;46;29;34;63;103;44;147;15;21;36;24;18;42;10;14;24;80;86;166;37;50;87;84;62;146;21;15;36;1.998;1.810;3.808
ETIOPIA;AFRICA;391;300;691;38;133;171;29;39;68;32;76;108;44;69;113;53;80;133;99;163;262;100;184;284;19;50;69;62;81;143;25;57;82;20;53;73;96;134;230;34;75;109;21;58;79;9;22;31;52;72;124;26;83;109;61;150;211;42;66;108;1.253;1.945;3.198
COLOMBIA;AMERICA SUD;175;136;311;41;84;125;19;36;55;62;111;173;36;73;109;83;86;169;76;113;189;94;120;214;43;70;113;39;58;97;57;57;114;68;78;146;41;75;116;49;78;127;42;89;131;34;63;97;107;98;205;79;126;205;87;144;231;6;6;12;1.238;1.701;2.939
EX JUGOSLAVIA;EUROPA NON COM.;174;104;278;22;51;73;15;16;31;21;19;40;128;126;254;54;57;111;160;156;316;221;194;415;24;41;65;42;33;75;65;46;111;80;86;166;66;41;107;41;39;80;13;17;30;21;28;49;71;68;139;69;53;122;48;101;149;113;78;191;1.448;1.354;2.802
TUNISIA;AFRICA;190;51;241;22;30;52;15;8;23;60;56;116;66;41;107;70;47;117;137;99;236;259;148;407;65;32;97;74;50;124;53;29;82;62;36;98;98;78;176;110;60;170;26;24;50;11;14;25;54;44;98;57;42;99;70;61;131;28;5;33;1.527;955;2.482
AFGHANISTAN;ASIA;2133;22;2155;10;1;11;3;0;3;22;7;29;15;0;15;6;3;9;6;0;6;48;1;49;10;0;10;9;3;12;2;1;3;29;5;34;7;0;7;26;0;26;6;0;6;4;0;4;55;0;55;6;0;6;5;2;7;0;1;1;2.402;46;2.448
SOMALIA;AFRICA;1296;223;1519;30;46;76;35;24;59;39;40;79;27;27;54;19;21;40;10;15;25;29;40;69;3;7;10;6;14;20;22;17;39;6;14;20;34;40;74;7;6;13;6;12;18;16;13;29;17;17;34;16;27;43;43;52;95;43;66;109;1.704;721;2.425
GRECIA;EUROPA COM.;157;73;230;128;75;203;114;43;157;107;73;180;139;55;194;82;26;108;83;28;111;29;19;48;60;33;93;59;34;93;42;33;75;31;25;56;248;100;348;28;16;44;41;24;65;30;25;55;34;16;50;23;18;41;85;43;128;42;18;60;1562;777;2.339
BULGARIA;EUROPA COM.;67;129;196;35;87;122;15;45;60;18;92;110;34;64;98;31;89;120;21;46;67;96;153;249;19;78;97;21;88;109;22;65;87;30;82;112;82;143;225;18;57;75;19;76;95;10;44;54;18;68;86;31;93;124;42;91;133;5;6;11;634;1596;2.230
REP. ISLAMICA DELL'IRAN;ASIA;243;87;330;39;68;107;27;16;43;70;75;145;82;61;143;20;16;36;34;12;46;55;47;102;20;29;49;14;25;39;23;24;47;65;65;130;109;57;166;20;15;35;27;25;52;18;19;37;51;47;98;51;42;93;226;160;386;28;26;54;1.222;916;2.138
PAKISTAN;ASIA;704;32;736;26;10;36;11;2;13;20;9;29;35;13;48;126;56;182;92;34;126;285;91;376;18;8;26;45;18;63;17;12;29;25;16;41;88;18;106;25;11;36;20;13;33;7;9;16;59;15;74;46;29;75;45;22;67;7;6;13;1701;424;2.125
BOSNIA-ERZEGOVINA;EUROPA NON COM.;55;50;105;1;5;6;0;1;1;22;28;50;146;119;265;6;7;13;34;30;64;56;55;111;8;12;20;27;20;47;112;93;205;291;247;538;12;15;27;99;105;204;3;3;6;4;4;8;26;28;54;36;58;94;1;3;4;75;53;128;1.014;936;1.950
FEDERAZIONE RUSSA;EUROPA NON COM.;69;148;217;34;88;122;8;30;38;14;80;94;6;56;62;6;36;42;16;38;54;15;53;68;44;86;130;14;79;93;16;73;89;29;99;128;46;131;177;13;54;67;15;70;85;8;47;55;44;74;118;15;55;70;29;101;130;7;7;14;448;1.405;1.853
REP. DI CAPO VERDE;AFRICA;28;109;137;32;175;207;14;39;53;9;40;49;37;52;89;3;22;25;16;31;47;29;54;83;11;32;43;4;13;17;8;21;29;19;40;59;9;31;40;10;23;33;7;25;32;15;40;55;18;37;55;37;103;140;133;305;438;4;25;29;443;1217;1.660
GIAPPONE;ASIA;116;100;216;58;66;124;14;20;34;30;65;95;14;50;64;10;17;27;1;14;15;3;21;24;32;68;100;2;22;24;48;56;104;123;116;239;12;52;64;11;33;44;36;71;107;24;49;73;30;36;66;30;36;66;23;52;75;17;14;31;634;958;1.592
REP. DI MACEDONIA;EUROPA NON COM.;19;5;24;7;4;11;5;3;8;66;40;106;20;20;40;10;3;13;20;12;32;67;52;119;7;6;13;10;9;19;8;4;12;112;70;182;75;38;113;34;29;63;26;9;35;12;4;16;229;143;372;149;80;229;57;43;100;12;5;17;945;579;1.524
MESSICO;AMERICA CENT.;112;133;245;20;51;71;7;8;15;11;24;35;10;12;22;20;12;32;2;8;10;17;18;35;13;21;34;3;28;31;48;53;101;18;23;41;12;27;39;12;23;35;100;46;146;16;41;57;292;133;425;8;16;24;14;65;79;21;10;31;756;752;1.508
PORTOGALLO;EUROPA COM.;135;130;265;66;125;191;7;22;29;13;18;31;16;17;33;11;17;28;6;15;21;27;15;42;8;17;25;6;14;20;29;77;106;15;35;50;13;27;40;11;23;34;9;20;29;18;33;51;36;76;112;29;50;79;68;124;192;17;32;49;540;887;1.427
CUBA;AMERICA CENT.;28;31;59;7;17;24;6;9;15;30;60;90;24;78;102;20;50;70;27;48;75;41;92;133;27;52;79;32;76;108;20;42;62;16;48;64;33;92;125;21;46;67;21;43;64;8;19;27;18;41;59;25;61;86;23;58;81;0;2;2;427;965;1.392
COSTA D'AVORIO;AFRICA;955;67;1022;1;1;2;1;1;2;16;14;30;7;3;10;5;2;7;20;23;43;89;13;102;1;4;5;2;4;6;4;1;5;8;7;15;16;5;21;6;3;9;12;6;18;1;4;5;19;11;30;8;6;14;13;11;24;1;2;3;1185;188;1.373
SENEGAL;AFRICA;216;37;253;4;8;12;16;1;17;30;16;46;25;6;31;166;18;184;88;27;115;113;40;153;19;3;22;44;9;53;15;8;23;32;20;52;38;20;58;24;7;31;34;7;41;4;1;5;27;6;33;117;21;138;42;34;76;3;1;4;1057;290;1.347
ARGENTINA;AMERICA SUD;102;97;199;55;60;115;15;24;39;26;26;52;17;17;34;17;13;30;18;15;33;23;28;51;25;23;48;9;16;25;30;25;55;50;21;71;39;50;89;17;26;43;21;51;72;19;30;49;47;25;72;29;46;75;57;69;126;19;23;42;635;685;1.320
REP. DOMINICANA;AMERICA CENT.;11;35;46;8;51;59;6;11;17;25;45;70;23;42;65;21;36;57;14;24;38;48;62;110;26;62;88;29;47;76;9;12;21;16;31;47;17;39;56;13;16;29;16;37;53;2;20;22;19;27;46;15;47;62;81;152;233;1;2;3;400;798;1.198
EX COREA;ASIA;120;43;163;6;9;15;6;16;22;19;18;37;41;44;85;4;11;15;10;8;18;43;33;76;17;32;49;40;39;79;40;17;57;26;24;50;11;17;28;6;11;17;56;37;93;2;6;8;77;56;133;9;20;29;40;44;84;18;7;25;591;492;1083
